# Magic number=05072024, 05 July 2024, PCS
# Single electron capture cross sections, n state-selective
# Fe^25+ + H -> Fe^24+ + H^+
# Method=MCLZ
# P. C. Stancil et al. 2024, to be submitted
# ----------------------------------------------------------------------------
# Energy		Cross sections (10^-16 cm^2)
# (eV/u)       	n=20          	n=19          	n=18          	n=17          	n=16          	n=15          	n=14          	n=13          	n=12          	n=11          	n=10          	n=9           	n=8           	n=7           	n=6           	n=5           	n=4           	n=3           	n=2           	n=1           	Total
1.000e-03	9.2051803e+01	8.6995751e-12	8.8087016e-25	1.0887055e-37	1.9567278e-50	6.4311327e-63	5.1712276e-75	1.4525721e-86	2.1584499e-97	2.6666265e-107	4.2851715e-116	1.3119711e-123	9.7787773e-130	1.8625913e-134	7.6073809e-138	2.8279472e-140	9.7028672e-142	1.1275253e-142	2.5657240e-143	2.5821011e-144	9.2051803e+01
1.053e-03	9.1758405e+01	8.5960816e-12	8.6415486e-25	1.0618812e-37	1.8997823e-50	6.2216431e-63	4.9889881e-75	1.3984440e-86	2.0747543e-97	2.5602637e-107	4.1108343e-116	1.2578680e-123	9.3719101e-130	1.7708069e-134	7.2325207e-138	2.7119318e-140	9.2247614e-142	1.0824916e-142	2.4632367e-143	2.4548693e-144	9.1758405e+01
1.108e-03	8.7170548e+01	8.1674092e-12	8.2116329e-25	1.0091648e-37	1.8056441e-50	5.9138383e-63	4.7424932e-75	1.3294235e-86	1.9724384e-97	2.4340812e-107	3.9083166e-116	1.1959167e-123	8.9104083e-130	1.6967872e-134	6.9292246e-138	2.5784075e-140	8.8463428e-142	1.0291946e-142	2.3419582e-143	2.3541011e-144	8.7170548e+01
1.166e-03	8.6786672e+01	8.0589885e-12	8.0439434e-25	9.8284638e-38	1.7505870e-50	5.7134434e-63	4.5695604e-75	1.2783730e-86	1.8938673e-97	2.3345764e-107	3.7456325e-116	1.1455197e-123	8.5318653e-130	1.6133090e-134	6.5883372e-138	2.4701825e-140	8.4111533e-142	9.8699749e-143	2.2459280e-143	2.2382932e-144	8.6786672e+01
1.228e-03	8.6303796e+01	7.9413180e-12	7.8684763e-25	9.5585271e-38	1.6948798e-50	5.5127004e-63	4.3976350e-75	1.2279126e-86	1.8006157e-97	2.2197021e-107	3.5614115e-116	1.0891967e-123	8.1124447e-130	1.5444940e-134	6.3064917e-138	2.3487700e-140	8.0581863e-142	9.3848578e-143	2.1355389e-143	2.1443105e-144	8.6303796e+01
1.292e-03	8.1988922e+01	7.5454962e-12	7.4773739e-25	9.0845983e-38	1.6110271e-50	5.2404709e-63	4.1808055e-75	1.1674444e-86	1.7271739e-97	2.1269946e-107	3.4101979e-116	1.0424308e-123	7.7615655e-130	1.4686453e-134	5.9968008e-138	2.2482251e-140	7.6624874e-142	8.9912908e-143	2.0459738e-143	2.0524014e-144	8.1988922e+01
1.361e-03	8.1442066e+01	7.4258097e-12	7.3044491e-25	8.8233663e-38	1.5577923e-50	5.0504257e-63	4.0191953e-75	1.1202676e-86	1.6551768e-97	2.0363886e-107	3.2427826e-116	9.9127221e-124	7.3807331e-130	1.4049039e-134	5.7358419e-138	2.1491097e-140	7.3346038e-142	8.5502049e-143	1.9456046e-143	1.9517172e-144	8.1442066e+01
1.432e-03	7.7370444e+01	7.0558231e-12	6.9416296e-25	8.3863054e-38	1.4808137e-50	4.8013720e-63	3.8213349e-75	1.0651940e-86	1.5738932e-97	1.9364624e-107	3.1027225e-116	9.4802259e-124	7.0565717e-130	1.3429463e-134	5.4547391e-138	2.0448612e-140	6.9751605e-142	8.1846267e-143	1.8624101e-143	1.8666547e-144	7.7370444e+01
1.508e-03	7.6772669e+01	6.9353881e-12	6.7724112e-25	8.1349270e-38	1.4301908e-50	4.6222436e-63	3.6700293e-75	1.0212505e-86	1.5070881e-97	1.8526294e-107	2.9665672e-116	9.0603949e-124	6.7110570e-130	1.2771988e-134	5.2138987e-138	1.9535603e-140	6.6716786e-142	7.7839642e-143	1.7712395e-143	1.7752766e-144	7.6772669e+01
1.587e-03	7.2934680e+01	6.5899819e-12	6.4362736e-25	7.7323941e-38	1.3596110e-50	4.3946580e-63	3.4896715e-75	9.7113955e-87	1.4332253e-97	1.7619104e-107	2.8213885e-116	8.6171670e-124	6.4124595e-130	1.2201616e-134	4.9589448e-138	1.8588807e-140	6.3762414e-142	7.4456105e-143	1.6942414e-143	1.6968025e-144	7.2934680e+01
