# Magic number=05072024, 05 July 2024, PCS
# Single electron capture cross sections, n state-selective
# Fe^25+ + H -> Fe^24+ + H^+
# Method=MCLZ
# P. C. Stancil et al. 2024, to be submitted
# ----------------------------------------------------------------------------
# Energy		Cross sections (10^-16 cm^2)
# (eV/u)       	n=20          	n=19          	n=18          	n=17          	n=16          	n=15          	n=14          	n=13          	n=12          	n=11          	n=10          	n=9           	n=8           	n=7           	n=6           	n=5           	n=4           	n=3           	n=2           	Total
1.000e-03	3.6711799e+03	4.4788411e-10	7.8323357e-23	1.2236330e-35	2.5430947e-48	9.3799136e-61	8.0786015e-73	2.2735374e-84	3.0948552e-95	3.1382670e-105	3.6522345e-114	7.2221977e-122	3.1334303e-128	3.2636043e-133	7.2920114e-137	9.4418374e-140	3.2726642e-141	3.8947569e-142	8.8641095e-143	3.6711799e+03
1.053e-03	3.6629397e+03	4.4294602e-10	7.6906435e-23	1.1944122e-35	2.4706727e-48	9.0791382e-61	7.7972100e-73	2.1895586e-84	2.9756431e-95	3.0137130e-105	3.5041920e-114	6.9251582e-122	3.0032967e-128	3.1027777e-133	6.9326866e-137	9.0545500e-140	3.1114036e-141	3.7392275e-142	8.5101006e-143	3.6629397e+03
1.108e-03	3.4797471e+03	4.2085105e-10	7.3079181e-23	1.1350992e-35	2.3482134e-48	8.6298579e-61	7.4118886e-73	2.0814740e-84	2.8288799e-95	2.8651667e-105	3.3315472e-114	6.5840691e-122	2.8553999e-128	2.9732382e-133	6.6421758e-137	8.6087386e-140	2.9837879e-141	3.5551237e-142	8.0910992e-143	3.4797471e+03
1.166e-03	3.4677792e+03	4.1563622e-10	7.1651847e-23	1.1063525e-35	2.2780549e-48	8.3416972e-61	7.1445384e-73	2.0021916e-84	2.7168781e-95	2.7485711e-105	3.1933342e-114	6.3072794e-122	2.7342955e-128	2.8269581e-133	6.3154052e-137	8.2474497e-140	2.8370014e-141	3.4093873e-142	7.7593853e-143	3.4677792e+03
1.228e-03	3.4519068e+03	4.0994007e-10	7.0152907e-23	1.0767960e-35	2.2069377e-48	8.0526177e-61	6.8784364e-73	1.9237518e-84	2.5830825e-95	2.6133102e-105	3.0362638e-114	5.9971444e-122	2.5998744e-128	2.7065072e-133	6.0454136e-137	7.8420741e-140	2.7179662e-141	3.2418118e-142	7.3780024e-143	3.4519068e+03
1.292e-03	3.2792710e+03	3.8950082e-10	6.6664713e-23	1.0233883e-35	2.0977175e-48	7.6548516e-61	6.5392077e-73	1.8289984e-84	2.4783146e-95	2.5046162e-105	2.9077390e-114	5.7402126e-122	2.4875944e-128	2.5735897e-133	5.7485388e-137	7.5064169e-140	2.5844988e-141	3.1058822e-142	7.0686142e-143	3.2792710e+03
1.361e-03	3.2607054e+03	3.8367622e-10	6.5182726e-23	9.9472042e-36	2.0296401e-48	7.3808053e-61	6.2887981e-73	1.7555988e-84	2.3755357e-95	2.3983280e-105	2.7649773e-114	5.4584869e-122	2.3655318e-128	2.4620022e-133	5.4985320e-137	7.1741269e-140	2.4739203e-141	2.9535156e-142	6.7218462e-143	3.2607054e+03
1.432e-03	3.0976338e+03	3.6455306e-10	6.1943749e-23	9.4542885e-36	1.9293105e-48	7.0167215e-61	5.9791260e-73	1.6692728e-84	2.2588556e-95	2.2806254e-105	2.6458834e-114	5.2208012e-122	2.2617790e-128	2.3535221e-133	5.2290544e-137	6.8274534e-140	2.3526811e-141	2.8272500e-142	6.4344577e-143	3.0976338e+03
1.508e-03	3.0768911e+03	3.5866545e-10	6.0489282e-23	9.1778417e-36	1.8644684e-48	6.7580851e-61	5.7444411e-73	1.6008471e-84	2.1634261e-95	2.1822324e-105	2.5300648e-114	4.9900100e-122	2.1510292e-128	2.2382957e-133	4.9983020e-137	6.5215433e-140	2.2503301e-141	2.6888461e-142	6.1194682e-143	3.0768911e+03
1.587e-03	2.9230141e+03	3.4079574e-10	5.7485673e-23	8.7235131e-36	1.7724220e-48	6.4252238e-61	5.4620569e-73	1.5222771e-84	2.0573752e-95	2.0753573e-105	2.4062342e-114	4.7458840e-122	2.0554395e-128	2.1384176e-133	4.7538858e-137	6.2065208e-140	2.1506858e-141	2.5719812e-142	5.8534793e-143	2.9230141e+03
